feature_symbol,tier,in_core_spec,in_runtime_code,core_source_kinds,runtime_groups,runtime_first_evidence,runtime_test_presence,lean_status,lean_evidence,lean_decl_anchor,coverage_status
chain,core,yes,yes,minimal_instruction,engine_const;stdlib_decl;stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/mod.rs:37,no,present,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/FullLanguageDef.lean:29:def mettaFull,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/FullLanguageDef.lean:29:def mettaFull,core_implemented
change-state!,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1037,no,absent,,,extension_runtime_only
check_argument_type,core,yes,no,algorithm_name,,,no,present,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/TypeCheck.lean:31:def checkArgumentType,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/TypeCheck.lean:31:def checkArgumentType,core_implemented
check_if_function_type_is_applicable,core,yes,no,algorithm_name,,,no,present,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/TypeCheck.lean:55:def checkIfFunctionTypeIsApplicable,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/TypeCheck.lean:55:def checkIfFunctionTypeIsApplicable,core_implemented
collapse,extension,no,yes,,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1198,no,present,"/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/PeTTa/Eval.lean:118:      PeTTaEval s (.apply ""collapse"" [p]) [.collection .vec answers none]",/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/PeTTa/Eval.lean:59:inductive PeTTaEval,extension_mapped_in_lean
collapse-bind,core,yes,yes,minimal_instruction,engine_const;stdlib_decl;stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/mod.rs:43,no,present,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/MinimalOps.lean:194:def collapseBind,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/MinimalOps.lean:194:def collapseBind,core_implemented
cons-atom,core,yes,yes,minimal_instruction,engine_const;stdlib_decl;stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/mod.rs:40,yes,present,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/PeTTa/MinimalInstructions.lean:71:inductive MeTTaStep,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/PeTTa/MinimalInstructions.lean:71:inductive MeTTaStep,core_implemented
context-space,core,yes,yes,minimal_instruction,engine_const;stdlib_decl;stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/mod.rs:48,no,present,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/MinimalOps.lean:95:def contextSpace,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/MinimalOps.lean:95:def contextSpace,core_implemented
cos-math,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:198,no,absent,,,extension_runtime_only
das-create-context!,extension,no,yes,,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/das.metta:35,no,absent,,,extension_runtime_only
das-evolution!,extension,no,yes,,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/das.metta:42,no,absent,,,extension_runtime_only
das-get-params!,extension,no,yes,,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/das.metta:30,no,absent,,,extension_runtime_only
das-helpers!,extension,no,yes,,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/das.metta:56,yes,absent,,,extension_runtime_only
das-join-network!,extension,no,yes,,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/das.metta:8,no,absent,,,extension_runtime_only
das-link-creation!,extension,no,yes,,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/das.metta:49,no,absent,,,extension_runtime_only
das-service-status!,extension,no,yes,,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/das.metta:18,yes,absent,,,extension_runtime_only
das-services!,extension,no,yes,,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/das.metta:13,no,absent,,,extension_runtime_only
das-set-param!,extension,no,yes,,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/das.metta:24,no,absent,,,extension_runtime_only
decons-atom,core,yes,yes,minimal_instruction,engine_const;stdlib_decl;stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/mod.rs:39,no,present,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/PeTTa/MinimalInstructions.lean:71:inductive MeTTaStep,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/PeTTa/MinimalInstructions.lean:71:inductive MeTTaStep,core_implemented
dict-space,extension,no,yes,,builtin_mods_decl;builtin_mods_doc;builtin_mods_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/json.metta:20,no,absent,,,extension_runtime_only
empty,extension,no,yes,,stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:618,no,present,"/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/PeTTa/MinimalInstructions.lean:164:      MeTTaStep s (.apply ""empty"" []) (.apply ""Empty"" [])",/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/PeTTa/MinimalInstructions.lean:71:inductive MeTTaStep,extension_mapped_in_lean
eval,core,yes,yes,minimal_instruction,engine_const;stdlib_decl;stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/mod.rs:35,no,present,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/FullLanguageDef.lean:29:def mettaFull,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/FullLanguageDef.lean:29:def mettaFull,core_implemented
evalc,core,yes,yes,minimal_instruction,engine_const;stdlib_decl;stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/mod.rs:36,no,present,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/PeTTa/MinimalInstructions.lean:71:inductive MeTTaStep,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/PeTTa/MinimalInstructions.lean:71:inductive MeTTaStep,core_implemented
file-get-size!,extension,no,yes,,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/fileio.metta:43,no,absent,,,extension_runtime_only
file-open!,extension,no,yes,,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/fileio.metta:1,no,absent,,,extension_runtime_only
file-read-exact!,extension,no,yes,,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/fileio.metta:34,no,absent,,,extension_runtime_only
file-read-to-string!,extension,no,yes,,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/fileio.metta:11,no,absent,,,extension_runtime_only
file-seek!,extension,no,yes,,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/fileio.metta:26,no,absent,,,extension_runtime_only
file-write!,extension,no,yes,,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/fileio.metta:18,no,absent,,,extension_runtime_only
filter-atom,extension,no,yes,,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:447,no,absent,,,extension_runtime_only
first-from-pair,extension,no,yes,,stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:424,no,absent,,,extension_runtime_only
flip,extension,no,yes,,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/random.metta:36,no,absent,,,extension_runtime_only
floor-math,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:174,no,absent,,,extension_runtime_only
foldl-atom,extension,no,yes,,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:485,yes,absent,,,extension_runtime_only
for-each-in-atom,extension,no,yes,,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:945,no,absent,,,extension_runtime_only
format-args,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1285,no,absent,,,extension_runtime_only
function,core,yes,yes,minimal_instruction,engine_const;stdlib_decl;stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/mod.rs:41,no,present,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/MinimalOps.lean:231:def evalFunction,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/MinimalOps.lean:231:def evalFunction,core_implemented
get-atoms,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1020,no,present,"/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/PeTTa/Effects.lean:129:        (.apply ""get-atoms"" [.apply ""&self"" []])",/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/PeTTa/Effects.lean:101:inductive PeTTaCmd,extension_mapped_in_lean
get-doc,extension,no,yes,,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:789,no,absent,,,extension_runtime_only
get-doc-atom,extension,no,yes,,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:862,no,absent,,,extension_runtime_only
get-doc-function,extension,no,yes,,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:815,no,absent,,,extension_runtime_only
get-doc-params,extension,no,yes,,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:842,no,absent,,,extension_runtime_only
get-doc-single-atom,extension,no,yes,,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:802,no,absent,,,extension_runtime_only
get-keys,extension,no,yes,,builtin_mods_decl;builtin_mods_doc;builtin_mods_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/json.metta:10,no,absent,,,extension_runtime_only
get-metatype,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:993,no,absent,,,extension_runtime_only
get-state,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1044,no,absent,,,extension_runtime_only
get-type,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:980,no,absent,,,extension_runtime_only
get-type-space,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:986,no,absent,,,extension_runtime_only
get-value,extension,no,yes,,builtin_mods_decl;builtin_mods_doc;builtin_mods_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/json.metta:1,no,absent,,,extension_runtime_only
git-module!,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1417,no,absent,,,extension_runtime_only
help!,extension,no,yes,,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:877,no,absent,,,extension_runtime_only
