feature_symbol,tier,in_core_spec,in_runtime_code,core_source_kinds,runtime_groups,runtime_first_evidence,runtime_test_presence,lean_status,lean_evidence,lean_decl_anchor,coverage_status
return,core,yes,yes,minimal_instruction,engine_const;stdlib_decl;stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/mod.rs:42,no,present,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/TransitionSpec.lean:64:def sourceInstrClassFor,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/TransitionSpec.lean:64:def sourceInstrClassFor,core_implemented
return-on-error,extension,no,yes,,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:319,no,absent,,,extension_runtime_only
round-math,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:180,no,absent,,,extension_runtime_only
sealed,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1298,no,present,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/PureKernel/ProfileTheory.lean:10:- a sealed base step relation with exactly the three pure β rules,,extension_mapped_in_lean
set-random-seed,extension,no,yes,,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/random.metta:17,no,absent,,,extension_runtime_only
sin-math,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:186,no,absent,,,extension_runtime_only
size-atom,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:123,no,absent,,,extension_runtime_only
skel-swap-pair,extension,no,yes,,builtin_mods_decl;builtin_mods_doc;builtin_mods_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/skel.metta:4,no,absent,,,extension_runtime_only
skel-swap-pair-native,extension,no,yes,,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/skel.metta:13,no,absent,,,extension_runtime_only
sort-strings,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1292,yes,absent,,,extension_runtime_only
sqrt-math,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:143,no,absent,,,extension_runtime_only
